"ID";"EigenaarBewoner";"KenmerkenVanHuishoudens";"Perioden";"ParticuliereHuishoudens_1";"GemiddeldeHypotheekschuldEigenWoning_2";"GemiddeldeWaardeEigenWoning_3";"GemiddeldBrutoInkomen_4";"GemiddeldBesteedbaarInkomen_5";"HypotheekschuldWoningwaarde_6";"HypotheekschuldBrutoInkomen_7";"HypotheekschuldBesteedbaarInkomen_8";"GeenSchuld_9";"k_0Tot07_10";"k_07Tot08_11";"k_08Tot09_12";"k_09Tot10_13";"k_1OfHoger_14";"GeenSchuld_15";"k_0Tot2_16";"k_2Tot4_17";"k_4OfHoger_18";"GeenSchuld_19";"k_0Tot35_20";"k_35Tot7_21";"k_7OfHoger_22"
"1369";"A050412";"1013850";"2015JJ00";"   669.3";"   115.7";"   262.2";"    53.5";"    39.3";"    0.38";"     1.9";"     2.4";"     0.0";"   537.7";"    36.9";"    27.4";"    20.1";"    47.1";"     0.0";"   355.2";"   207.5";"   106.6";"     0.0";"   454.2";"   162.6";"    52.4"
"1370";"A050412";"1013850";"2016JJ00";"   691.4";"   116.6";"   270.3";"    55.5";"    40.5";"    0.37";"     1.9";"     2.4";"     0.0";"   561.9";"    37.4";"    27.6";"    20.7";"    43.8";"     0.0";"   369.4";"   215.7";"   106.2";"     0.0";"   471.5";"   168.3";"    51.6"
"1371";"A050412";"1013850";"2017JJ00";"   712.9";"   121.6";"   288.7";"    62.9";"    44.6";"    0.36";"     1.8";"     2.4";"     0.0";"   590.0";"    37.3";"    27.5";"    20.3";"    37.8";"     0.0";"   385.9";"   223.7";"   103.4";"     0.0";"   490.8";"   172.5";"    49.5"
"1372";"A050412";"1013850";"2018JJ00";"   715.3";"   118.8";"   305.2";"    58.2";"    42.6";"    0.34";"     1.9";"     2.4";"     0.0";"   611.5";"    34.9";"    24.9";"    17.0";"    27.1";"     0.0";"   382.8";"   229.0";"   103.5";"     0.0";"   491.9";"   174.6";"    48.8"
"1373";"A050412";"1013850";"2019JJ00";"   732.0";"   121.6";"   329.9";"    63.7";"    47.1";"    0.32";"     1.8";"     2.3";"     0.0";"   644.6";"    32.2";"    21.4";"    13.1";"    20.7";"     0.0";"   398.6";"   232.7";"   100.7";"     0.0";"   514.9";"   171.0";"    46.0"
"1374";"A050412";"1013850";"2020JJ00";"   749.9";"   120.8";"   348.3";"    60.8";"    45.3";"    0.30";"     1.8";"     2.3";"     0.0";"   676.2";"    29.6";"    18.0";"    10.4";"    15.8";"     0.0";"   408.4";"   239.0";"   102.5";"     0.0";"   530.3";"   172.9";"    46.6"
"1375";"A050412";"1013850";"2021JJ00";"   775.0";"   122.6";"   380.2";"    61.7";"    46.0";"    0.28";"     1.8";"     2.3";"     0.0";"   719.1";"    24.1";"    13.2";"     6.9";"    11.7";"     0.0";"   420.8";"   248.6";"   105.6";"     0.0";"   547.5";"   179.6";"    47.9"
"1376";"A050412";"1013900";"2006JJ00";"     8.5";"    81.1";"   220.6";"       .";"       .";"    0.31";"       .";"       .";"     0.0";"     6.9";"     0.4";"     0.3";"     0.3";"     0.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1377";"A050412";"1013900";"2007JJ00";"     8.3";"    89.0";"   237.4";"       .";"       .";"    0.33";"       .";"       .";"     0.0";"     6.6";"     0.4";"     0.4";"     0.4";"     0.6";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1378";"A050412";"1013900";"2008JJ00";"     7.7";"    94.7";"   244.2";"       .";"       .";"    0.35";"       .";"       .";"     0.0";"     6.0";"     0.4";"     0.4";"     0.4";"     0.5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1379";"A050412";"1013900";"2009JJ00";"     6.3";"    97.9";"   232.6";"       .";"       .";"    0.39";"       .";"       .";"     0.0";"     4.7";"     0.4";"     0.4";"     0.3";"     0.6";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1380";"A050412";"1013900";"2010JJ00";"     6.8";"   103.1";"   209.7";"       .";"       .";"    0.47";"       .";"       .";"     0.0";"     4.6";"     0.4";"     0.4";"     0.4";"     1.1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1381";"A050412";"1013900";"2011JJ00";"     9.1";"   105.3";"   194.5";"    25.6";"    19.8";"    0.54";"     3.6";"     4.6";"     0.0";"     5.6";"     0.6";"     0.6";"     0.6";"     1.7";"     0.0";"     2.6";"     2.3";"     4.1";"     0.0";"     3.6";"     2.6";"     2.9"
"1382";"A050412";"1013900";"2012JJ00";"    10.3";"   113.5";"   183.1";"    25.2";"    19.6";"    0.64";"     4.1";"     5.1";"     0.0";"     5.6";"     0.7";"     0.7";"     0.7";"     2.6";"     0.0";"     2.5";"     2.6";"     5.2";"     0.0";"     3.6";"     3.1";"     3.6"
"1383";"A050412";"1013900";"2013JJ00";"    12.6";"   118.9";"   162.9";"    25.4";"    19.7";"    0.77";"     4.3";"     5.5";"     0.0";"     5.7";"     0.8";"     0.8";"     0.8";"     4.4";"     0.0";"     2.7";"     3.1";"     6.7";"     0.0";"     3.9";"     3.9";"     4.8"
"1384";"A050412";"1013900";"2014JJ00";"    14.3";"   123.9";"   161.6";"    25.5";"    19.9";"    0.82";"     4.5";"     5.6";"     0.0";"     6.0";"     1.0";"     1.0";"     1.0";"     5.4";"     0.0";"     2.8";"     3.6";"     8.0";"     0.0";"     4.1";"     4.6";"     5.6"
"1385";"A050412";"1013900";"2015JJ00";"    14.3";"   119.3";"   163.6";"    25.5";"    20.1";"    0.78";"     4.4";"     5.5";"     0.0";"     6.3";"     1.0";"     1.1";"     1.0";"     4.9";"     0.0";"     2.8";"     3.7";"     7.9";"     0.0";"     4.2";"     4.7";"     5.4"
"1386";"A050412";"1013900";"2016JJ00";"    14.4";"   115.4";"   168.0";"    25.4";"    20.1";"    0.73";"     4.3";"     5.3";"     0.0";"     6.9";"     1.1";"     1.1";"     1.1";"     4.2";"     0.0";"     2.8";"     3.8";"     7.7";"     0.0";"     4.4";"     4.9";"     5.1"
"1387";"A050412";"1013900";"2017JJ00";"    13.5";"   110.1";"   177.3";"    26.0";"    20.5";"    0.66";"     4.0";"     5.0";"     0.0";"     7.2";"     1.1";"     1.1";"     1.1";"     3.0";"     0.0";"     2.9";"     3.8";"     6.8";"     0.0";"     4.4";"     4.8";"     4.4"
"1388";"A050412";"1013900";"2018JJ00";"    12.1";"   107.8";"   190.6";"    26.4";"    20.8";"    0.60";"     3.9";"     4.9";"     0.0";"     7.2";"     1.1";"     1.1";"     0.9";"     1.9";"     0.0";"     2.7";"     3.5";"     5.9";"     0.0";"     4.1";"     4.3";"     3.7"
